Team;Round;Question;Point
In MUST We Trust;Department of Linguistics round;8;1
In MUST We Trust;Department of Linguistics round;9;1
In MUST We Trust;Department of Linguistics round;10;1
Kaminsky Kanpai;Department of Linguistics round;1;1
Kaminsky Kanpai;Department of Linguistics round;2;1
Kaminsky Kanpai;Department of Linguistics round;3;1
Kaminsky Kanpai;Department of Linguistics round;4;1
Kaminsky Kanpai;Department of Linguistics round;5;0
Kaminsky Kanpai;Department of Linguistics round;6;0
Kaminsky Kanpai;Department of Linguistics round;7;1
Kaminsky Kanpai;Department of Linguistics round;8;1
Kaminsky Kanpai;Department of Linguistics round;9;1
Kaminsky Kanpai;Department of Linguistics round;10;0
The variation constellation;Department of Linguistics round;1;1
The variation constellation;Department of Linguistics round;2;0
The variation constellation;Department of Linguistics round;3;1
The variation constellation;Department of Linguistics round;4;1
The variation constellation;Department of Linguistics round;5;1
The variation constellation;Department of Linguistics round;6;1
The variation constellation;Department of Linguistics round;7;0
The variation constellation;Department of Linguistics round;8;1
The variation constellation;Department of Linguistics round;9;1
The variation constellation;Department of Linguistics round;10;0
The Long Lunch Committee;Department of Linguistics round;1;1
The Long Lunch Committee;Department of Linguistics round;2;0
The Long Lunch Committee;Department of Linguistics round;3;0
The Long Lunch Committee;Department of Linguistics round;4;0
The Long Lunch Committee;Department of Linguistics round;5;0
The Long Lunch Committee;Department of Linguistics round;6;0
The Long Lunch Committee;Department of Linguistics round;7;0
The Long Lunch Committee;Department of Linguistics round;8;0
The Long Lunch Committee;Department of Linguistics round;9;1
The Long Lunch Committee;Department of Linguistics round;10;0
Vettige Sjwa en de diminutiefjes;Department of Linguistics round;1;1
Vettige Sjwa en de diminutiefjes;Department of Linguistics round;2;1
Vettige Sjwa en de diminutiefjes;Department of Linguistics round;3;0
Vettige Sjwa en de diminutiefjes;Department of Linguistics round;4;1
Vettige Sjwa en de diminutiefjes;Department of Linguistics round;5;1
Vettige Sjwa en de diminutiefjes;Department of Linguistics round;6;1
Vettige Sjwa en de diminutiefjes;Department of Linguistics round;7;1
Vettige Sjwa en de diminutiefjes;Department of Linguistics round;8;1
Vettige Sjwa en de diminutiefjes;Department of Linguistics round;9;1
Vettige Sjwa en de diminutiefjes;Department of Linguistics round;10;0
Die van Campus Brussel;Department of Linguistics round;1;1
Die van Campus Brussel;Department of Linguistics round;2;1
Die van Campus Brussel;Department of Linguistics round;3;1
Die van Campus Brussel;Department of Linguistics round;4;1
Die van Campus Brussel;Department of Linguistics round;5;0
Die van Campus Brussel;Department of Linguistics round;6;1
Die van Campus Brussel;Department of Linguistics round;7;0
Die van Campus Brussel;Department of Linguistics round;8;1
Die van Campus Brussel;Department of Linguistics round;9;1
Die van Campus Brussel;Department of Linguistics round;10;0
Error 404;Department of Linguistics round;1;1
Error 404;Department of Linguistics round;2;0
Error 404;Department of Linguistics round;3;1
Error 404;Department of Linguistics round;4;1
Error 404;Department of Linguistics round;5;1
Error 404;Department of Linguistics round;6;1
Error 404;Department of Linguistics round;7;0
Error 404;Department of Linguistics round;8;1
Error 404;Department of Linguistics round;9;1
Error 404;Department of Linguistics round;10;0
In MUST We Trust;Pop culture round;1;1
In MUST We Trust;Pop culture round;2;0
In MUST We Trust;Pop culture round;3;1
In MUST We Trust;Pop culture round;4;1
In MUST We Trust;Pop culture round;5;0
In MUST We Trust;Pop culture round;6;0
In MUST We Trust;Pop culture round;7;0
In MUST We Trust;Pop culture round;8;1
In MUST We Trust;Pop culture round;9;1
In MUST We Trust;Pop culture round;10;0
Kaminsky Kanpai;Pop culture round;1;1
Kaminsky Kanpai;Pop culture round;2;0
Kaminsky Kanpai;Pop culture round;3;1
Kaminsky Kanpai;Pop culture round;4;0
Kaminsky Kanpai;Pop culture round;5;1
Kaminsky Kanpai;Pop culture round;6;0
Kaminsky Kanpai;Pop culture round;7;0
Kaminsky Kanpai;Pop culture round;8;1
Kaminsky Kanpai;Pop culture round;9;1
Kaminsky Kanpai;Pop culture round;10;1
The variation constellation;Pop culture round;1;1
The variation constellation;Pop culture round;2;0
The variation constellation;Pop culture round;3;0
The variation constellation;Pop culture round;4;1
The variation constellation;Pop culture round;5;0
The variation constellation;Pop culture round;6;0
The variation constellation;Pop culture round;7;1
The variation constellation;Pop culture round;8;0
The variation constellation;Pop culture round;9;1
The variation constellation;Pop culture round;10;1
The Long Lunch Committee;Pop culture round;1;1
The Long Lunch Committee;Pop culture round;2;0
The Long Lunch Committee;Pop culture round;3;0
The Long Lunch Committee;Pop culture round;4;1
The Long Lunch Committee;Pop culture round;5;1
The Long Lunch Committee;Pop culture round;6;0
The Long Lunch Committee;Pop culture round;7;0
The Long Lunch Committee;Pop culture round;8;0
The Long Lunch Committee;Pop culture round;9;1
The Long Lunch Committee;Pop culture round;10;1
Vettige Sjwa en de diminutiefjes;Pop culture round;1;1
Vettige Sjwa en de diminutiefjes;Pop culture round;2;1
Vettige Sjwa en de diminutiefjes;Pop culture round;3;1
Vettige Sjwa en de diminutiefjes;Pop culture round;4;1
Vettige Sjwa en de diminutiefjes;Pop culture round;5;0
Vettige Sjwa en de diminutiefjes;Pop culture round;6;0
Vettige Sjwa en de diminutiefjes;Pop culture round;7;0
Vettige Sjwa en de diminutiefjes;Pop culture round;8;1
Vettige Sjwa en de diminutiefjes;Pop culture round;9;1
Vettige Sjwa en de diminutiefjes;Pop culture round;10;1
Die van Campus Brussel;Pop culture round;1;1
Die van Campus Brussel;Pop culture round;2;0
Die van Campus Brussel;Pop culture round;3;1
Die van Campus Brussel;Pop culture round;4;1
Die van Campus Brussel;Pop culture round;5;0
Die van Campus Brussel;Pop culture round;6;0
Die van Campus Brussel;Pop culture round;7;0
Die van Campus Brussel;Pop culture round;8;0
Die van Campus Brussel;Pop culture round;9;0
Die van Campus Brussel;Pop culture round;10;0
Error 404;Pop culture round;1;1
Error 404;Pop culture round;2;0
Error 404;Pop culture round;3;0
Error 404;Pop culture round;4;1
Error 404;Pop culture round;5;1
Error 404;Pop culture round;6;0
Error 404;Pop culture round;7;1
Error 404;Pop culture round;8;0
Error 404;Pop culture round;9;1
Error 404;Pop culture round;10;1
